REF_DATE,GEO,DGUID,Sex,Age group,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2001,"Montréal (CMA), Quebec",2016S0503462,Both sexes,All ages,Persons,249,units,0,v1060785691,44.1.1,3626699.0,,,,0
2001,"Ottawa - Gatineau (CMA), Ontario/Quebec",2016S0503505,Both sexes,All ages,Persons,249,units,0,v1060788331,52.1.1,1127684.0,,,,0
2001,"Toronto (CMA), Ontario",2016S0503535,Both sexes,All ages,Persons,249,units,0,v1060794271,70.1.1,4882618.0,,,,0
2001,"Calgary (CMA), Alberta",2016S0503825,Both sexes,All ages,Persons,249,units,0,v1060811101,121.1.1,977775.0,,,,0
2001,"Vancouver (CMA), British Columbia",2016S0503933,Both sexes,All ages,Persons,249,units,0,v1060818031,142.1.1,2074568.0,,,,0
2002,"Montréal (CMA), Quebec",2016S0503462,Both sexes,All ages,Persons,249,units,0,v1060785691,44.1.1,3663840.0,,,,0
2002,"Ottawa - Gatineau (CMA), Ontario/Quebec",2016S0503505,Both sexes,All ages,Persons,249,units,0,v1060788331,52.1.1,1144036.0,,,,0
2002,"Toronto (CMA), Ontario",2016S0503535,Both sexes,All ages,Persons,249,units,0,v1060794271,70.1.1,5002533.0,,,,0
2002,"Calgary (CMA), Alberta",2016S0503825,Both sexes,All ages,Persons,249,units,0,v1060811101,121.1.1,1007032.0,,,,0
2002,"Vancouver (CMA), British Columbia",2016S0503933,Both sexes,All ages,Persons,249,units,0,v1060818031,142.1.1,2098557.0,,,,0
2003,"Montréal (CMA), Quebec",2016S0503462,Both sexes,All ages,Persons,249,units,0,v1060785691,44.1.1,3693579.0,,,,0
2003,"Ottawa - Gatineau (CMA), Ontario/Quebec",2016S0503505,Both sexes,All ages,Persons,249,units,0,v1060788331,52.1.1,1159243.0,,,,0
2003,"Toronto (CMA), Ontario",2016S0503535,Both sexes,All ages,Persons,249,units,0,v1060794271,70.1.1,5081464.0,,,,0
2003,"Calgary (CMA), Alberta",2016S0503825,Both sexes,All ages,Persons,249,units,0,v1060811101,121.1.1,1028587.0,,,,0
2003,"Vancouver (CMA), British Columbia",2016S0503933,Both sexes,All ages,Persons,249,units,0,v1060818031,142.1.1,2116185.0,,,,0
2004,"Montréal (CMA), Quebec",2016S0503462,Both sexes,All ages,Persons,249,units,0,v1060785691,44.1.1,3725738.0,,,,0
2004,"Ottawa - Gatineau (CMA), Ontario/Quebec",2016S0503505,Both sexes,All ages,Persons,249,units,0,v1060788331,52.1.1,1170640.0,,,,0
2004,"Toronto (CMA), Ontario",2016S0503535,Both sexes,All ages,Persons,249,units,0,v1060794271,70.1.1,5162061.0,,,,0
2004,"Calgary (CMA), Alberta",2016S0503825,Both sexes,All ages,Persons,249,units,0,v1060811101,121.1.1,1051686.0,,,,0
2004,"Vancouver (CMA), British Columbia",2016S0503933,Both sexes,All ages,Persons,249,units,0,v1060818031,142.1.1,2134020.0,,,,0
2005,"Montréal (CMA), Quebec",2016S0503462,Both sexes,All ages,Persons,249,units,0,v1060785691,44.1.1,3754003.0,,,,0
2005,"Ottawa - Gatineau (CMA), Ontario/Quebec",2016S0503505,Both sexes,All ages,Persons,249,units,0,v1060788331,52.1.1,1181489.0,,,,0
2005,"Toronto (CMA), Ontario",2016S0503535,Both sexes,All ages,Persons,249,units,0,v1060794271,70.1.1,5241407.0,,,,0
2005,"Calgary (CMA), Alberta",2016S0503825,Both sexes,All ages,Persons,249,units,0,v1060811101,121.1.1,1085764.0,,,,0
2005,"Vancouver (CMA), British Columbia",2016S0503933,Both sexes,All ages,Persons,249,units,0,v1060818031,142.1.1,2159646.0,,,,0
2006,"Montréal (CMA), Quebec",2016S0503462,Both sexes,All ages,Persons,249,units,0,v1060785691,44.1.1,3787447.0,,,,0
2006,"Ottawa - Gatineau (CMA), Ontario/Quebec",2016S0503505,Both sexes,All ages,Persons,249,units,0,v1060788331,52.1.1,1189979.0,,,,0
2006,"Toronto (CMA), Ontario",2016S0503535,Both sexes,All ages,Persons,249,units,0,v1060794271,70.1.1,5334382.0,,,,0
2006,"Calgary (CMA), Alberta",2016S0503825,Both sexes,All ages,Persons,249,units,0,v1060811101,121.1.1,1124723.0,,,,0
2006,"Vancouver (CMA), British Columbia",2016S0503933,Both sexes,All ages,Persons,249,units,0,v1060818031,142.1.1,2188743.0,,,,0
2007,"Montréal (CMA), Quebec",2016S0503462,Both sexes,All ages,Persons,249,units,0,v1060785691,44.1.1,3820627.0,,,,0
2007,"Ottawa - Gatineau (CMA), Ontario/Quebec",2016S0503505,Both sexes,All ages,Persons,249,units,0,v1060788331,52.1.1,1205632.0,,,,0
2007,"Toronto (CMA), Ontario",2016S0503535,Both sexes,All ages,Persons,249,units,0,v1060794271,70.1.1,5415765.0,,,,0
2007,"Calgary (CMA), Alberta",2016S0503825,Both sexes,All ages,Persons,249,units,0,v1060811101,121.1.1,1155560.0,,,,0
2007,"Vancouver (CMA), British Columbia",2016S0503933,Both sexes,All ages,Persons,249,units,0,v1060818031,142.1.1,2216948.0,,,,0
2008,"Montréal (CMA), Quebec",2016S0503462,Both sexes,All ages,Persons,249,units,0,v1060785691,44.1.1,3859334.0,,,,0
2008,"Ottawa - Gatineau (CMA), Ontario/Quebec",2016S0503505,Both sexes,All ages,Persons,249,units,0,v1060788331,52.1.1,1225487.0,,,,0
2008,"Toronto (CMA), Ontario",2016S0503535,Both sexes,All ages,Persons,249,units,0,v1060794271,70.1.1,5501325.0,,,,0
2008,"Calgary (CMA), Alberta",2016S0503825,Both sexes,All ages,Persons,249,units,0,v1060811101,121.1.1,1187476.0,,,,0
2008,"Vancouver (CMA), British Columbia",2016S0503933,Both sexes,All ages,Persons,249,units,0,v1060818031,142.1.1,2253672.0,,,,0
2009,"Montréal (CMA), Quebec",2016S0503462,Both sexes,All ages,Persons,249,units,0,v1060785691,44.1.1,3907597.0,,,,0
2009,"Ottawa - Gatineau (CMA), Ontario/Quebec",2016S0503505,Both sexes,All ages,Persons,249,units,0,v1060788331,52.1.1,1246116.0,,,,0
2009,"Toronto (CMA), Ontario",2016S0503535,Both sexes,All ages,Persons,249,units,0,v1060794271,70.1.1,5588312.0,,,,0
2009,"Calgary (CMA), Alberta",2016S0503825,Both sexes,All ages,Persons,249,units,0,v1060811101,121.1.1,1220700.0,,,,0
2009,"Vancouver (CMA), British Columbia",2016S0503933,Both sexes,All ages,Persons,249,units,0,v1060818031,142.1.1,2301469.0,,,,0
2010,"Montréal (CMA), Quebec",2016S0503462,Both sexes,All ages,Persons,249,units,0,v1060785691,44.1.1,3953773.0,,,,0
2010,"Ottawa - Gatineau (CMA), Ontario/Quebec",2016S0503505,Both sexes,All ages,Persons,249,units,0,v1060788331,52.1.1,1268687.0,,,,0
2010,"Toronto (CMA), Ontario",2016S0503535,Both sexes,All ages,Persons,249,units,0,v1060794271,70.1.1,5681126.0,,,,0
2010,"Calgary (CMA), Alberta",2016S0503825,Both sexes,All ages,Persons,249,units,0,v1060811101,121.1.1,1240521.0,,,,0
2010,"Vancouver (CMA), British Columbia",2016S0503933,Both sexes,All ages,Persons,249,units,0,v1060818031,142.1.1,2344847.0,,,,0
2011,"Montréal (CMA), Quebec",2016S0503462,Both sexes,All ages,Persons,249,units,0,v1060785691,44.1.1,3994492.0,,,,0
2011,"Ottawa - Gatineau (CMA), Ontario/Quebec",2016S0503505,Both sexes,All ages,Persons,249,units,0,v1060788331,52.1.1,1288388.0,,,,0
2011,"Toronto (CMA), Ontario",2016S0503535,Both sexes,All ages,Persons,249,units,0,v1060794271,70.1.1,5768001.0,,,,0
2011,"Calgary (CMA), Alberta",2016S0503825,Both sexes,All ages,Persons,249,units,0,v1060811101,121.1.1,1263935.0,,,,0
2011,"Vancouver (CMA), British Columbia",2016S0503933,Both sexes,All ages,Persons,249,units,0,v1060818031,142.1.1,2374642.0,,,,0
2012,"Montréal (CMA), Quebec",2016S0503462,Both sexes,All ages,Persons,249,units,0,v1060785691,44.1.1,4031655.0,,,,0
2012,"Ottawa - Gatineau (CMA), Ontario/Quebec",2016S0503505,Both sexes,All ages,Persons,249,units,0,v1060788331,52.1.1,1303562.0,,,,0
2012,"Toronto (CMA), Ontario",2016S0503535,Both sexes,All ages,Persons,249,units,0,v1060794271,70.1.1,5852841.0,,,,0
2012,"Calgary (CMA), Alberta",2016S0503825,Both sexes,All ages,Persons,249,units,0,v1060811101,121.1.1,1300292.0,,,,0
2012,"Vancouver (CMA), British Columbia",2016S0503933,Both sexes,All ages,Persons,249,units,0,v1060818031,142.1.1,2418938.0,,,,0
2013,"Montréal (CMA), Quebec",2016S0503462,Both sexes,All ages,Persons,249,units,0,v1060785691,44.1.1,4066332.0,,,,0
2013,"Ottawa - Gatineau (CMA), Ontario/Quebec",2016S0503505,Both sexes,All ages,Persons,249,units,0,v1060788331,52.1.1,1315160.0,,,,0
2013,"Toronto (CMA), Ontario",2016S0503535,Both sexes,All ages,Persons,249,units,0,v1060794271,70.1.1,5931697.0,,,,0
2013,"Calgary (CMA), Alberta",2016S0503825,Both sexes,All ages,Persons,249,units,0,v1060811101,121.1.1,1344686.0,,,,0
2013,"Vancouver (CMA), British Columbia",2016S0503933,Both sexes,All ages,Persons,249,units,0,v1060818031,142.1.1,2459426.0,,,,0
2014,"Montréal (CMA), Quebec",2016S0503462,Both sexes,All ages,Persons,249,units,0,v1060785691,44.1.1,4093501.0,,,,0
2014,"Ottawa - Gatineau (CMA), Ontario/Quebec",2016S0503505,Both sexes,All ages,Persons,249,units,0,v1060788331,52.1.1,1326612.0,,,,0
2014,"Toronto (CMA), Ontario",2016S0503535,Both sexes,All ages,Persons,249,units,0,v1060794271,70.1.1,5998737.0,,,,0
2014,"Calgary (CMA), Alberta",2016S0503825,Both sexes,All ages,Persons,249,units,0,v1060811101,121.1.1,1386828.0,,,,0
2014,"Vancouver (CMA), British Columbia",2016S0503933,Both sexes,All ages,Persons,249,units,0,v1060818031,142.1.1,2507414.0,,,,0
2015,"Montréal (CMA), Quebec",2016S0503462,Both sexes,All ages,Persons,249,units,0,v1060785691,44.1.1,4109712.0,,,,0
2015,"Ottawa - Gatineau (CMA), Ontario/Quebec",2016S0503505,Both sexes,All ages,Persons,249,units,0,v1060788331,52.1.1,1337305.0,,,,0
2015,"Toronto (CMA), Ontario",2016S0503535,Both sexes,All ages,Persons,249,units,0,v1060794271,70.1.1,6045240.0,,,,0
2015,"Calgary (CMA), Alberta",2016S0503825,Both sexes,All ages,Persons,249,units,0,v1060811101,121.1.1,1414010.0,,,,0
2015,"Vancouver (CMA), British Columbia",2016S0503933,Both sexes,All ages,Persons,249,units,0,v1060818031,142.1.1,2544484.0,,,,0
2016,"Montréal (CMA), Quebec",2016S0503462,Both sexes,All ages,Persons,249,units,0,v1060785691,44.1.1,4140425.0,,,,0
2016,"Ottawa - Gatineau (CMA), Ontario/Quebec",2016S0503505,Both sexes,All ages,Persons,249,units,0,v1060788331,52.1.1,1358100.0,,,,0
2016,"Toronto (CMA), Ontario",2016S0503535,Both sexes,All ages,Persons,249,units,0,v1060794271,70.1.1,6125013.0,,,,0
2016,"Calgary (CMA), Alberta",2016S0503825,Both sexes,All ages,Persons,249,units,0,v1060811101,121.1.1,1438160.0,,,,0
2016,"Vancouver (CMA), British Columbia",2016S0503933,Both sexes,All ages,Persons,249,units,0,v1060818031,142.1.1,2582202.0,,,,0
2017,"Montréal (CMA), Quebec",2016S0503462,Both sexes,All ages,Persons,249,units,0,v1060785691,44.1.1,4193207.0,,,,0
