city_name,year,population
Montreal,2001,3626699.0
Ottawa,2001,1127684.0
Toronto,2001,4882618.0
Calgary,2001,977775.0
Vancouver,2001,2074568.0
Montreal,2002,3663840.0
Ottawa,2002,1144036.0
Toronto,2002,5002533.0
Calgary,2002,1007032.0
Vancouver,2002,2098557.0
Montreal,2003,3693579.0
Ottawa,2003,1159243.0
Toronto,2003,5081464.0
Calgary,2003,1028587.0
Vancouver,2003,2116185.0
Montreal,2004,3725738.0
Ottawa,2004,1170640.0
Toronto,2004,5162061.0
Calgary,2004,1051686.0
Vancouver,2004,2134020.0
Montreal,2005,3754003.0
Ottawa,2005,1181489.0
Toronto,2005,5241407.0
Calgary,2005,1085764.0
Vancouver,2005,2159646.0
Montreal,2006,3787447.0
Ottawa,2006,1189979.0
Toronto,2006,5334382.0
Calgary,2006,1124723.0
Vancouver,2006,2188743.0
Montreal,2007,3820627.0
Ottawa,2007,1205632.0
Toronto,2007,5415765.0
Calgary,2007,1155560.0
Vancouver,2007,2216948.0
Montreal,2008,3859334.0
Ottawa,2008,1225487.0
Toronto,2008,5501325.0
Calgary,2008,1187476.0
Vancouver,2008,2253672.0
Montreal,2009,3907597.0
Ottawa,2009,1246116.0
Toronto,2009,5588312.0
Calgary,2009,1220700.0
Vancouver,2009,2301469.0
Montreal,2010,3953773.0
Ottawa,2010,1268687.0
Toronto,2010,5681126.0
Calgary,2010,1240521.0
Vancouver,2010,2344847.0
Montreal,2011,3994492.0
Ottawa,2011,1288388.0
Toronto,2011,5768001.0
Calgary,2011,1263935.0
Vancouver,2011,2374642.0
Montreal,2012,4031655.0
Ottawa,2012,1303562.0
Toronto,2012,5852841.0
Calgary,2012,1300292.0
Vancouver,2012,2418938.0
Montreal,2013,4066332.0
Ottawa,2013,1315160.0
Toronto,2013,5931697.0
Calgary,2013,1344686.0
Vancouver,2013,2459426.0
Montreal,2014,4093501.0
Ottawa,2014,1326612.0
Toronto,2014,5998737.0
Calgary,2014,1386828.0
Vancouver,2014,2507414.0
Montreal,2015,4109712.0
Ottawa,2015,1337305.0
Toronto,2015,6045240.0
Calgary,2015,1414010.0
Vancouver,2015,2544484.0
Montreal,2016,4140425.0
Ottawa,2016,1358100.0
Toronto,2016,6125013.0
Calgary,2016,1438160.0
Vancouver,2016,2582202.0
Montreal,2017,4193207.0
Ottawa,2017,1384897.0
Toronto,2017,6217328.0
Calgary,2017,1458336.0
Vancouver,2017,2616904.0
Montreal,2018,4264846.0
Ottawa,2018,1411032.0
Toronto,2018,6337780.0
Calgary,2018,1483528.0
Vancouver,2018,2658582.0
Montreal,2019,4334308.0
Ottawa,2019,1438015.0
Toronto,2019,6462898.0
Calgary,2019,1514426.0
Vancouver,2019,2709277.0
Montreal,2020,4366487.0
Ottawa,2020,1462582.0
Toronto,2020,6543886.0
Calgary,2020,1542956.0
Vancouver,2020,2743765.0
Montreal,2021,4340642.0
Ottawa,2021,1474077.0
Toronto,2021,6547381.0
Calgary,2021,1558588.0
Vancouver,2021,2764932.0
Montreal,2022,4378796.0
Ottawa,2022,1498610.0
Toronto,2022,6685621.0
Calgary,2022,1608342.0
Vancouver,2022,2842730.0
